Bike,Wheels,Bike Type,Rider Height (cm),Rider Weight (kg),Power (W),Flat Stage 0 Avg Speed MPH,Flat Stage 0 - Hour Time Gap,Flat Stage 5 Avg Speed MPH,Flat Stage 5 - Hour Time Gap,Climb Stage 0 Avg Speed MPH,Climb Stage 0 - Hour Time Gap,Climb Stage 5 Avg Speed MPH,Climb Stage 5 - Hour Time Gap
Allied Able,Zwift Gravel,Gravel,183,75,300,23.6542,-136.7,23.8419,-109.2,8.8482,-139.5,8.9370,-104.8
BMC Roadmachine,Zwift 32mm Carbon,Road,183,75,300,24.6409,7.8,24.8276,35.1,9.2530,18.8,9.3440,54.4
BMC SLR01,Zwift 32mm Carbon,Road,183,75,300,24.6459,8.5,24.8324,35.8,9.2750,27.4,9.3669,63.4
BMC TeamMachine,Zwift 32mm Carbon,Road,183,75,300,24.8718,41.6,25.0641,69.8,9.2996,37.0,9.3922,73.3
BMC Timemachine01,Zwift 32mm Carbon,TT,183,75,300,25.6728,158.9,26.0033,207.3,9.0875,-45.9,9.1587,-18.1
Bridgestone Anchor RS9s,Zwift 32mm Carbon,Road,183,75,300,24.6498,9.1,24.7942,30.2,9.3066,39.8,9.4578,98.9
Cadex Tri,Zwift 32mm Carbon,TT,183,75,300,25.8494,184.7,26.1858,234.0,9.1055,-38.9,9.1728,-12.6
Cannondale CAAD12,Zwift 32mm Carbon,Road,183,75,300,24.6339,6.8,24.8202,34.0,9.2011,-1.5,9.2937,34.7
Cannondale CAAD13,Zwift 32mm Carbon,Road,183,75,300,24.9867,58.4,25.1772,86.3,9.2785,28.8,9.3739,66.1
Cannondale EVO,Zwift 32mm Carbon,Road,183,75,300,24.6515,9.3,24.8383,36.7,9.3132,42.4,9.4075,79.2
Cannondale R4000 Roller Blade,Cannondale R4000 Roller Blade,Halo,183,75,300,25.4123,120.7,25.6162,150.6,9.2226,6.9,9.3155,43.3
Cannondale Super Six Evo,Zwift 32mm Carbon,Road,183,75,300,24.8980,45.4,25.0898,73.5,9.3102,41.2,9.4049,78.2
Cannondale SuperSix Evo LAB71,Zwift 32mm Carbon,Road,183,75,300,25.0071,61.4,25.1984,89.4,9.3387,52.3,9.4342,89.7
Cannondale Synapse,Zwift 32mm Carbon,Road,183,75,300,24.6440,8.2,24.8304,35.5,9.2646,23.3,9.3586,60.1
Cannondale System Six,Zwift 32mm Carbon,Road,183,75,300,25.0046,61.0,25.1993,89.5,9.2365,12.4,9.3290,48.5
Canyon Aeroad 2015,Zwift 32mm Carbon,Road,183,75,300,24.9774,57.1,25.1716,85.5,9.2460,16.1,9.3386,52.3
Canyon Aeroad 2021,Zwift 32mm Carbon,Road,183,75,300,25.0003,60.4,25.1935,88.7,9.3044,38.9,9.3981,75.6
Canyon Aeroad 2024,Zwift 32mm Carbon,Road,183,75,300,25.0181,63.0,25.2126,91.5,9.3141,42.7,9.4099,80.2
Canyon Grail,Zwift Gravel,Gravel,183,75,300,23.7226,-126.7,23.9105,-99.2,8.8838,-125.6,8.9721,-91.0
Canyon Inflite,Zwift Gravel,Gravel,183,75,300,23.6401,-138.7,23.8287,-111.1,8.7962,-159.8,8.8831,-125.9
Canyon Lux,Zwift Mountain,MTB,183,75,300,23.0617,-223.4,23.2211,-200.1,8.2794,-362.0,8.4079,-311.7
Canyon Speedmax,Zwift 32mm Carbon,TT,183,75,300,25.6735,159.0,26.0030,207.2,9.0881,-45.7,9.1562,-19.0
Canyon Speedmax CF SLX Disc,Zwift 32mm Carbon,TT,183,75,300,25.8203,180.5,26.1562,229.7,9.0988,-41.5,9.1667,-14.9
Canyon Ultimate,Zwift 32mm Carbon,Road,183,75,300,24.6493,9.0,24.8358,36.3,9.2986,36.6,9.3918,73.1
Canyon Ultimate CFR,Zwift 32mm Carbon,Road,183,75,300,24.6510,9.3,24.8383,36.7,9.3151,43.1,9.4067,78.9
Cervelo Aspero,Zwift Gravel,Gravel,183,75,300,23.8012,-115.2,23.9921,-87.2,8.8446,-140.9,8.9323,-106.6
Cervelo P5,Zwift 32mm Carbon,TT,183,75,300,25.7347,167.9,26.0676,216.7,9.1155,-35.0,9.1826,-8.7
Cervelo PX-Series,Zwift 32mm Carbon,TT,183,75,300,25.7900,176.0,26.0072,207.8,9.0920,-44.2,9.1859,-7.4
Cervelo R5,Zwift 32mm Carbon,Road,183,75,300,24.6529,9.5,24.8354,36.3,9.2941,34.9,9.3874,71.4
Cervelo S3D,Zwift 32mm Carbon,Road,183,75,300,24.9448,52.3,25.1404,80.9,9.2144,3.7,9.3065,39.7
Cervelo S5 2015,Zwift 32mm Carbon,Road,183,75,300,25.0101,61.8,25.2084,90.9,9.2807,29.6,9.3734,65.9
Cervelo S5 2020,Zwift 32mm Carbon,Road,183,75,300,25.0138,62.4,25.2092,91.0,9.2822,30.2,9.3766,67.2
Chapter2 Koko,Zwift 32mm Carbon,Road,183,75,300,24.7066,17.4,24.8918,44.5,9.2845,31.1,9.3796,68.3
Chapter2 Rere,Zwift 32mm Carbon,Road,183,75,300,24.6868,14.5,24.8740,41.9,9.2227,7.0,9.3142,42.7
Chapter2 Tere,Zwift 32mm Carbon,Road,183,75,300,24.6490,9.0,24.8353,36.3,9.2941,34.9,9.3871,71.3
Chapter2 Toa,Zwift 32mm Carbon,Road,183,75,300,24.9937,59.4,25.1854,87.5,9.3009,37.5,9.3941,74.0
Colnago V3RS,Zwift 32mm Carbon,Road,183,75,300,24.6450,8.4,24.8304,35.5,9.2657,23.8,9.3582,60.0
Cube Aerium,Zwift 32mm Carbon,TT,183,75,300,25.6738,159.0,26.0033,207.3,9.0907,-44.7,9.1600,-17.6
Cube Litening,Zwift 32mm Carbon,Road,183,75,300,24.6482,8.9,24.8346,36.1,9.2911,33.7,9.3815,69.1
Cube Litening C:68X,Zwift 32mm Carbon,Road,183,75,300,24.6504,9.2,24.8376,36.6,9.3113,41.6,9.4064,78.8
DiamondBack Andean,Zwift 32mm Carbon,TT,183,75,300,25.6756,159.3,26.0048,207.5,9.1020,-40.2,9.1693,-13.9
Factor One,Zwift 32mm Carbon,Road,183,75,300,24.9397,51.5,25.1330,79.8,9.2309,10.2,9.3225,46.0
Felt AR,Zwift 32mm Carbon,Road,183,75,300,25.0155,62.6,25.2108,91.2,9.2958,35.6,9.3882,71.7
Felt FR,Zwift 32mm Carbon,Road,183,75,300,24.7719,27.0,24.9609,54.6,9.3035,38.6,9.3955,74.5
Felt IA,Zwift 32mm Carbon,TT,183,75,300,25.7896,176.0,26.1266,225.3,9.0935,-43.6,9.1623,-16.7
Felt IA 2.0,Zwift 32mm Carbon,TT,183,75,300,25.7921,176.3,26.1309,225.9,9.1196,-33.4,9.1887,-6.3
Focus Izalco Max,Zwift 32mm Carbon,Road,183,75,300,24.9709,56.1,25.1661,84.7,9.2798,29.3,9.3739,66.1
Giant Propel Advanced SL Disc,Zwift 32mm Carbon,Road,183,75,300,24.9731,56.4,25.1673,84.9,9.2675,24.5,9.3613,61.2
Giant Revolt Advanced Pro,Zwift Gravel,Gravel,183,75,300,23.7033,-129.5,23.8938,-101.6,8.8307,-146.3,8.9191,-111.8
Giant TCR Advanced SL,Zwift 32mm Carbon,Road,183,75,300,24.6466,8.6,24.8330,35.9,9.2817,30.0,9.3722,65.4
Giant TCR BikeExchange-Jayco Team,Zwift 32mm Carbon,Road,183,75,300,24.7644,25.9,24.9530,53.5,9.2456,15.9,9.3370,51.7
Lauf True Grit,Zwift Gravel,Gravel,183,75,300,23.5718,-148.7,23.7592,-121.3,8.7159,-191.2,8.8009,-158.0
Liv Devote Advanced Pro,Zwift Gravel,Gravel,183,75,300,23.7043,-129.3,23.8936,-101.6,8.8312,-146.2,8.9185,-112.0
Liv Langma Advanced SL,Zwift 32mm Carbon,Road,183,75,300,24.6469,8.7,24.9289,50.0,9.2795,29.2,9.3485,56.2
Liv Langma SL Advanced Disc,Zwift 32mm Carbon,Road,183,75,300,24.7683,26.4,24.9592,54.4,9.2888,32.8,9.3820,69.3
Moots Vamoots RCS,Zwift 32mm Carbon,Road,183,75,300,24.6308,6.3,24.8188,33.8,9.1895,-6.0,9.2814,29.9
Mosaic RT-1d,Zwift 32mm Carbon,Road,183,75,300,24.6315,6.4,24.8186,33.8,9.1903,-5.7,9.2813,29.9
Parlee ESX,Zwift 32mm Carbon,Road,183,75,300,24.7642,25.8,24.9527,53.4,9.2417,14.4,9.3338,50.4
Parlee RZ7,Zwift 32mm Carbon,Road,183,75,300,24.8832,43.3,25.0756,71.4,9.2416,14.4,9.3318,49.6
Pinarello Bolide,Zwift 32mm Carbon,TT,183,75,300,25.6699,158.4,25.9995,206.7,9.0646,-54.9,9.1316,-28.7
Pinarello Bolide TT,Zwift 32mm Carbon,TT,183,75,300,25.6688,158.3,25.9984,206.5,9.0585,-57.3,9.1256,-31.0
Pinarello Dogma 65.1,Zwift 32mm Carbon,Road,183,75,300,24.7580,24.9,24.9473,52.7,9.2025,-0.9,9.2945,35.0
Pinarello Dogma F 2021,Zwift 32mm Carbon,Road,183,75,300,24.9739,56.5,25.1690,85.1,9.3147,42.9,9.4097,80.1
Pinarello Dogma F 2024,Zwift 32mm Carbon,Road,183,75,300,25.0126,62.2,25.2047,90.3,9.3256,47.2,9.4220,84.9
Pinarello Dogma F10,Zwift 32mm Carbon,Road,183,75,300,24.9185,48.4,25.1107,76.6,9.2731,26.7,9.3668,63.3
Pinarello Dogma F12,Zwift 32mm Carbon,Road,183,75,300,24.9494,53.0,25.1420,81.2,9.2831,30.6,9.3762,67.0
Pinarello Dogma X,Zwift 32mm Carbon,Road,183,75,300,24.6447,8.3,24.8287,35.3,9.2707,25.7,9.3634,62.0
Pinarello Espada,Pinarello Pinarello Espada,Halo,183,75,300,26.1705,231.7,26.5227,283.3,9.0216,-71.7,9.0910,-44.5
Pinarello F8,Zwift 32mm Carbon,Road,183,75,300,24.8655,40.7,25.0577,68.8,9.2614,22.1,9.3555,58.9
