Bike,Wheels,Rider Height (cm),Rider Weight (kg),Power (W),Flat Avg Speed MPH,Flat Hour Time Gap,Climb Avg Speed MPH,Climb Hour Time Gap
Zwift Carbon,Bontrager Aeolus5,183,75,300,24.7058,17.3,9.1941,-4.2
Zwift Carbon,CADEX 36,183,75,300,24.6234,5.2,9.2184,5.3
Zwift Carbon,CADEX 42,183,75,300,24.6880,14.7,9.2191,5.6
Zwift Carbon,CADEX 65,183,75,300,24.8044,31.7,9.2084,1.4
Zwift Carbon,Campagnolo Bora Ultra 35,183,75,300,24.5850,-0.4,9.2097,1.9
Zwift Carbon,Campagnolo Bora Ultra 50,183,75,300,24.7554,24.6,9.2132,3.2
Zwift Carbon,DTSwiss ARC 1100 DICUT 62,183,75,300,24.8557,39.2,9.2020,-1.1
Zwift Carbon,DTSwiss ARC 1100 DICUT DISC,183,75,300,24.9166,48.2,9.1413,-24.9
Zwift Carbon,Enve SES 2.2,183,75,300,24.5884,0.1,9.2132,3.2
Zwift Carbon,Enve SES 3.4,183,75,300,24.7527,24.2,9.2174,4.9
Zwift Carbon,Enve SES 6.7,183,75,300,24.7977,30.7,9.2130,3.2
Zwift Carbon,Enve SES 7.8,183,75,300,24.8955,45.1,9.2002,-1.8
Zwift Carbon,Enve SES 8.9,183,75,300,24.9067,46.7,9.1801,-9.7
Zwift Carbon,FFWD RYOT55,183,75,300,24.7459,23.2,9.1830,-8.6
Zwift Carbon,Giant SLR 0,183,75,300,24.7296,20.8,9.2179,5.1
Zwift Carbon,HED Vanquish RC6 Pro,183,75,300,24.6849,14.2,9.1941,-4.2
Zwift Carbon,Lightweight Meilenstein,183,75,300,24.6680,11.8,9.2268,8.6
Zwift Carbon,Mavic Comete Pro Carbon SL UST,183,75,300,24.7522,24.1,9.1929,-4.7
Zwift Carbon,Mavic Cosmic CXR60c,183,75,300,24.7255,20.2,9.1728,-12.6
Zwift Carbon,Mavic Cosmic Ultimate UST,183,75,300,24.7092,17.8,9.2179,5.1
Zwift Carbon,Novatec R4,183,75,300,24.6051,2.5,9.1891,-6.2
Zwift Carbon,Roval Alpinist CLX,183,75,300,24.6659,11.4,9.2258,8.2
Zwift Carbon,Roval CLX64,183,75,300,24.8192,33.9,9.2119,2.7
Zwift Carbon,Roval Rapide CLX,183,75,300,24.7732,27.2,9.2156,4.2
Zwift Carbon,Shimano C40,183,75,300,24.6546,9.8,9.2086,1.4
Zwift Carbon,Shimano C50,183,75,300,24.7166,18.9,9.1968,-3.2
Zwift Carbon,Shimano C60,183,75,300,24.7609,25.4,9.1908,-5.5
Zwift Carbon,Zipp 202,183,75,300,24.6132,3.7,9.2099,2.0
Zwift Carbon,Zipp 353 NSW,183,75,300,24.7745,27.4,9.2270,8.6
Zwift Carbon,Zipp 404,183,75,300,24.7940,30.2,9.2054,0.2
Zwift Carbon,Zipp 454,183,75,300,24.8199,34.0,9.2236,7.3
Zwift Carbon,Zipp 808,183,75,300,24.8326,35.9,9.1963,-3.4
Zwift Carbon,Zipp 808/Super9,183,75,300,24.8926,44.6,9.1468,-22.7
Zwift Carbon,Zipp 858,183,75,300,24.8581,39.6,9.2067,0.7
Zwift Carbon,Zipp 858/Super9,183,75,300,24.9191,48.5,9.1525,-20.5
Zwift Carbon,Zwift 32mm Carbon,183,75,300,24.5877,0.0,9.2020,-1.1
Zwift Carbon,Zwift 50mm Carbon,183,75,300,24.6657,11.4,9.1964,-3.3
Zwift Carbon,Zwift Atomic Cruiser 2024,183,75,300,24.5776,-1.5,9.1492,-21.8
Zwift Carbon,Zwift Baseline,183,75,300,24.5853,-0.4,9.2023,-1.0
Zwift Carbon,Zwift Buffalo Fahrrad,183,75,300,24.5411,-6.8,9.1493,-21.7
Zwift Carbon,Zwift Classic,183,75,300,24.5456,-6.2,9.1728,-12.6
Zwift Carbon,Zwift Groovy Time Trial,183,75,300,24.8211,34.2,9.1376,-26.3
Zwift Carbon,Zwift Plain,183,75,300,24.7498,23.7,9.1887,-6.3
Zwift Carbon,Zwift Safety,183,75,300,24.5747,-1.9,9.1208,-32.9
Zwift Carbon,Zwift Supersonic,183,75,300,24.6123,3.6,9.2028,-0.8
Zwift Carbon,Zwift Tri Spoke // Disc,183,75,300,24.7839,28.7,9.1403,-25.3
Zwift TT,Bontrager Aeolus5,183,75,300,25.6621,19.7,9.0336,-3.3
Zwift TT,CADEX 36,183,75,300,25.5652,6.0,9.0566,5.8
Zwift TT,CADEX 42,183,75,300,25.6372,16.2,9.0580,6.4
Zwift TT,CADEX 65,183,75,300,25.7773,35.9,9.0475,2.2
Zwift TT,Campagnolo Bora Ultra 35,183,75,300,25.5225,0.0,9.0483,2.5
Zwift TT,Campagnolo Bora Ultra 50,183,75,300,25.7162,27.3,9.0521,4.0
Zwift TT,DTSwiss ARC 1100 DICUT 62,183,75,300,25.8354,44.1,9.0418,-0.1
Zwift TT,DTSwiss ARC 1100 DICUT DISC,183,75,300,25.9923,66.2,8.9878,-21.6
Zwift TT,Enve SES 2.2,183,75,300,25.5226,0.0,9.0491,2.8
Zwift TT,Enve SES 3.4,183,75,300,25.7140,27.0,9.0550,5.2
Zwift TT,Enve SES 6.7,183,75,300,25.7657,34.3,9.0513,3.7
Zwift TT,Enve SES 7.8,183,75,300,25.8821,50.7,9.0402,-0.7
Zwift TT,Enve SES 8.9,183,75,300,25.8946,52.5,9.0204,-8.6
Zwift TT,FFWD RYOT55,183,75,300,25.7092,26.3,9.0229,-7.6
Zwift TT,Giant SLR 0,183,75,300,25.6906,23.7,9.0570,6.0
Zwift TT,HED Vanquish RC6 Pro,183,75,300,25.6356,15.9,9.0341,-3.1
Zwift TT,Lightweight Meilenstein,183,75,300,25.6131,12.8,9.0649,9.1
Zwift TT,Mavic Comete Pro Carbon SL UST,183,75,300,25.7131,26.9,9.0327,-3.7
Zwift TT,Mavic Cosmic CXR60c,183,75,300,25.6825,22.5,9.0146,-10.9
Zwift TT,Mavic Cosmic Ultimate UST,183,75,300,25.6663,20.3,9.0572,6.1
Zwift TT,Novatec R4,183,75,300,25.5409,2.6,9.0289,-5.2
Zwift TT,Roval Alpinist CLX,183,75,300,25.6136,12.8,9.0621,8.0
Zwift TT,Roval CLX64,183,75,300,25.7946,38.4,9.0508,3.5
Zwift TT,Roval Rapide CLX,183,75,300,25.7408,30.8,9.0559,5.5
Zwift TT,Shimano C40,183,75,300,25.6016,11.1,9.0479,2.3
Zwift TT,Shimano C50,183,75,300,25.6742,21.4,9.0371,-2.0
Zwift TT,Shimano C60,183,75,300,25.7236,28.3,9.0304,-4.6
Zwift TT,Zipp 202,183,75,300,25.5539,4.4,9.0483,2.5
Zwift TT,Zipp 353 NSW,183,75,300,25.7426,31.0,9.0653,9.3
Zwift TT,Zipp 404,183,75,300,25.7637,34.0,9.0463,1.7
Zwift TT,Zipp 454,183,75,300,25.7927,38.1,9.0610,7.6
Zwift TT,Zipp 808,183,75,300,25.8078,40.2,9.0358,-2.5
Zwift TT,Zipp 808/Super9,183,75,300,25.9629,62.1,8.9901,-20.7
Zwift TT,Zipp 858,183,75,300,25.8382,44.5,9.0482,2.5
Zwift TT,Zipp 858/Super9,183,75,300,25.9933,66.4,8.9964,-18.2
Zwift TT,Zwift 32mm Carbon,183,75,300,25.5227,0.0,9.0420,0.0
Zwift TT,Zwift 50mm Carbon,183,75,300,25.6118,12.6,9.0354,-2.6
Zwift TT,Zwift Atomic Cruiser 2024,183,75,300,25.5128,-1.4,8.9912,-20.2
Zwift TT,Zwift Baseline,183,75,300,25.5197,-0.4,9.0407,-0.5
Zwift TT,Zwift Buffalo Fahrrad,183,75,300,25.4695,-7.5,8.9887,-21.2
Zwift TT,Zwift Classic,183,75,300,25.4726,-7.1,9.0102,-12.7
Zwift TT,Zwift Groovy Time Trial,183,75,300,25.7961,38.6,8.9797,-24.8
Zwift TT,Zwift Plain,183,75,300,25.7125,26.8,9.0290,-5.2
Zwift TT,Zwift Safety,183,75,300,25.5079,-2.1,8.9604,-32.5
Zwift TT,Zwift Supersonic,183,75,300,25.5526,4.2,9.0432,0.5
Zwift TT,Zwift Tri Spoke/Disc,183,75,300,25.7534,32.5,8.9801,-24.6
